N0	N1	N2	N3	N4	N5	N6	N7	N8	N9	N10	N11	N12	N13	N14	N15	N16	N17	X1	X2	Class
-12.547379529684477	98.21201418448908	79.83187187183756	-69.97690216891274	81.99613527674782	-64.88865990521833	-24.055114090245496	-9.500160202287503	-76.09275707917931	-96.3194775190294	90.37153034084699	-61.52643941008582	50.28777746065967	92.8011834709632	-60.333303618841974	-63.85704852553595	-90.08668866267462	45.31175087064301	23.346199678803757	20.248776160950996	111.98140634036845
76.56938844169781	-47.56846999176511	39.47367042718207	-88.36252977463508	90.9332859074593	48.10526757618314	31.933691052692325	19.798780838394592	-46.50902670108054	-66.93667723373264	-52.96275455390877	-94.4254625364825	91.8466487196986	24.785777851135975	-95.10929609132717	78.4566324594455	92.79378332031396	82.6243348428302	80.29717228711658	26.098407839444832	394.786392155768
-98.35776976813804	27.625611518649393	8.89154924457371	65.84429185265967	76.33707376270345	-21.47918714428883	92.34363946463341	23.093530186551064	28.256027901785444	75.37813596146145	85.62806327779441	-55.054952806970704	-1.8776733163833796	-0.11949439799194295	-13.925754952595554	-9.41244398851147	24.393523691971183	-90.41817842703537	-70.1153045327674	81.9659656750649	-375.8985112221919
53.156776604343065	-93.81568845477612	-82.27359961511074	13.120739212915893	-15.501991348160303	-96.22023055548445	36.01013465396704	96.22133136518329	-76.29918991951638	36.471489984399625	54.810845642201286	-55.32914686512156	-23.990104625350256	70.31474218500239	-9.0599854957578	-57.13926310331012	38.84701019366648	-27.220497462651423	26.48800013266461	-33.41489750254807	145.57829983083906
-25.641759045938883	78.33765892099453	45.7429516141016	5.517847146973438	64.17190208345221	50.54108129362169	-5.490319198080968	53.14335814291775	88.97957432896973	-40.155942368900945	21.78843934794203	-55.26798950636507	-55.343659289154054	-36.56754220549896	46.516651445541214	35.56705870949958	40.75808325281051	-27.8438205161889	-68.40089855668666	-67.69641494744928	-317.43902113428356
66.17487929197782	78.10697958914017	98.14878294849467	-81.5610731150838	-16.415708668424273	-5.179592272539452	46.823605980182265	29.16323406443135	4.3431599825640745	45.45445560401561	-55.101626141703534	13.18831630767366	-85.6049014768299	-1.0173125670921053	67.85174337464358	22.21555578680696	91.97061814045495	-1.7174723866155261	-57.004038880947846	-28.25199818576168	-273.60286167615203
-69.79884092590115	-83.29113455544132	69.24856404301926	89.08718968952945	25.998058339286217	83.26796709663961	21.39354996201726	-32.35007626993476	9.00242671336531	-85.24866918672471	-31.9726646543469	14.506726994074654	-0.6798416283617712	-91.47790749011718	-72.2393629487124	57.64376499165226	-47.812895697290216	24.50646219766979	-2.1516535269020807	-46.5094854619404	6.744894186136399
55.30166041328059	43.10487013211852	19.795975723970898	4.79295733333241	-17.14091736224988	97.82085280868137	2.0062052788203175	85.20993663805868	-43.335661968033136	74.40430580966202	-42.133256685158884	28.09143528886625	-50.1996979721089	-6.9155765471816295	76.05119762859209	95.73572444647752	91.45872228698676	78.8709830802506	0.28150172199579515	-20.575706904341004	10.266077578092645
-24.012087781551855	15.156420606050773	-61.82473878394197	-93.95683234214273	96.25995463748504	62.95075767603046	-12.429391887789933	7.261403965349686	-67.77351450266822	-58.253720482710406	-76.92251975897497	-98.18700256896051	-87.30686353217017	-17.336089277039136	-2.436342432141501	25.85244827375392	19.37943984766825	-49.1405663744616	67.01896389351322	86.18176228640343	308.3675653720983
65.75569295950274	-12.351629445224475	-92.32314821827818	-96.09346827372929	40.079225099567395	0.5763258471826589	-50.54556082313739	2.4725619365719496	24.765464773311948	-47.31453596313362	-28.88709467107806	33.869042412195824	26.250115504390962	-75.00249359453042	-13.92806675406328	60.69097521248787	-32.00052316420832	-69.07580255832127	17.29401629435526	4.126261282501019	87.09466104427595
